timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper
1760941165781,0.188927,0.108436,1.143214,0.236811,-0.835082,-0.495595,0.030728,1
1760941165797,0.186347,0.108935,1.143100,0.171672,-0.867939,-0.465780,0.016114,1
1760941165813,0.183812,0.109522,1.142872,0.153888,-0.882039,-0.445147,0.013005,1
1760941165829,0.181499,0.110512,1.143091,0.135521,-0.889663,-0.435925,0.010168,1
1760941165849,0.178985,0.111885,1.143429,0.068932,-0.914390,-0.398915,0.002617,1
1760941165865,0.176677,0.112571,1.143568,0.027679,-0.931028,-0.363896,0.000428,1
1760941165882,0.174868,0.113475,1.143470,-0.038502,-0.947037,-0.318807,0.000827,1
1760941165897,0.172726,0.114343,1.144059,-0.090185,-0.955357,-0.281317,0.004599,1
1760941165913,0.171011,0.115311,1.144333,-0.123996,-0.960759,-0.247966,0.008920,1
1760941165929,0.169246,0.116299,1.144832,-0.139875,-0.961988,-0.234260,0.011716,1
1760941165949,0.167800,0.117076,1.145171,-0.246557,-0.955354,-0.158259,0.038233,1
1760941165965,0.166798,0.117857,1.145507,-0.313091,-0.941278,-0.108627,0.064569,1
1760941165981,0.165970,0.118273,1.146006,-0.332867,-0.935822,-0.088177,0.075244,1
1760941165996,0.165098,0.118844,1.146118,-0.352331,-0.929162,-0.070886,0.086575,1
1760941166012,0.164965,0.118859,1.146215,-0.427044,-0.893616,-0.004345,0.138076,1
1760941166029,0.164903,0.119065,1.146554,-0.442298,-0.883580,0.006836,0.153664,1
1760941166049,0.165178,0.119250,1.146822,-0.471075,-0.862313,0.029271,0.183433,1
1760941166065,0.165785,0.118920,1.146862,-0.472627,-0.860389,0.031473,0.188050,1
1760941166081,0.166369,0.118753,1.147035,-0.476670,-0.856870,0.031807,0.193770,1
1760941166097,0.167168,0.118760,1.147445,-0.487489,-0.847249,0.034031,0.208245,1
1760941166113,0.168454,0.118447,1.147274,-0.497276,-0.837901,0.040396,0.221375,1
1760941166130,0.169653,0.118367,1.147072,-0.515852,-0.818459,0.051133,0.247803,1
1760941166150,0.171413,0.118205,1.147533,-0.526470,-0.805872,0.053146,0.265662,1
1760941166166,0.173103,0.118089,1.147246,-0.543512,-0.782338,0.069379,0.296192,1
1760941166181,0.174819,0.118111,1.146859,-0.546221,-0.778905,0.064839,0.301239,1
1760941166197,0.176941,0.118036,1.146876,-0.554509,-0.764092,0.073901,0.321281,1
1760941166213,0.178787,0.117555,1.146786,-0.556436,-0.760194,0.071463,0.327683,1
1760941166229,0.180874,0.117382,1.146149,-0.562348,-0.751064,0.069883,0.338798,1
1760941166250,0.182896,0.116405,1.145710,-0.561621,-0.754567,0.065140,0.333118,1
1760941166265,0.186651,0.115737,1.144929,-0.505424,-0.813926,0.175363,0.226536,1
1760941166281,0.186239,0.116219,1.144939,-0.567731,-0.747717,0.053477,0.340206,1
1760941166297,0.188115,0.115778,1.144500,-0.567181,-0.751302,0.042283,0.334758,1
1760941166313,0.191907,0.113966,1.143016,-0.512636,-0.808701,0.173214,0.230659,1
1760941166329,0.193797,0.113676,1.142641,-0.523988,-0.796044,0.178476,0.244738,1
1760941166349,0.192583,0.114492,1.142655,-0.578881,-0.731313,0.035769,0.358885,1
1760941166365,0.194459,0.113952,1.141795,-0.574424,-0.743942,0.019518,0.340890,1
1760941166381,0.196306,0.113634,1.141207,-0.570560,-0.753078,0.006346,0.327559,1
1760941166397,0.199189,0.112194,1.139809,-0.512223,-0.816619,0.149413,0.220086,1
1760941166413,0.198695,0.112565,1.139613,-0.577748,-0.746258,0.002236,0.330607,1
1760941166429,0.200029,0.112056,1.138808,-0.583086,-0.738393,0.003161,0.338786,1
1760941166451,0.201325,0.112073,1.138344,-0.578828,-0.746904,-0.009684,0.327105,1
1760941166465,0.202224,0.111810,1.137762,-0.569219,-0.765113,-0.029719,0.299513,1
1760941166482,0.203312,0.111283,1.136983,-0.551699,-0.789540,-0.055305,0.263053,1
1760941166497,0.204002,0.111105,1.136034,-0.537724,-0.804765,-0.080517,0.238167,1
1760941166513,0.204532,0.111031,1.135702,-0.541655,-0.801303,-0.079626,0.241212,1
1760941166529,0.205149,0.110635,1.134791,-0.531671,-0.810261,-0.102501,0.224270,1
1760941166549,0.205678,0.110560,1.134458,-0.532717,-0.809275,-0.105800,0.223815,1
1760941166565,0.205984,0.110273,1.133598,-0.512890,-0.824793,-0.134297,0.196533,1
1760941166581,0.206787,0.110385,1.133406,-0.482096,-0.844060,-0.166163,0.165939,1
1760941166597,0.207059,0.110103,1.132864,-0.487201,-0.842863,-0.156205,0.166783,1
1760941166613,0.207226,0.109857,1.132026,-0.457971,-0.858656,-0.182288,0.140513,1
1760941166629,0.207335,0.109399,1.131585,-0.442861,-0.866983,-0.189604,0.127532,1
1760941166648,0.207434,0.109325,1.131225,-0.422876,-0.875977,-0.202927,0.112518,1
1760941166666,0.207387,0.108965,1.130818,-0.411196,-0.880822,-0.210771,0.103181,1
1760941166683,0.207132,0.108403,1.130434,-0.373982,-0.892970,-0.236725,0.081869,1
1760941166699,0.206763,0.108531,1.129994,-0.346218,-0.901947,-0.248994,0.068019,1
1760941166715,0.206329,0.108498,1.129704,-0.297047,-0.912491,-0.277146,0.048104,1
1760941166731,0.206283,0.108137,1.129298,-0.283372,-0.916200,-0.280065,0.042922,1
1760941166748,0.206245,0.107756,1.129176,-0.296585,-0.915780,-0.266736,0.047294,1
1760941166765,0.206279,0.107592,1.129018,-0.315951,-0.913003,-0.252386,0.053880,1
1760941166780,0.206397,0.106840,1.128516,-0.287517,-0.918475,-0.267953,0.044031,1
1760941166797,0.206519,0.106150,1.128704,-0.264000,-0.922132,-0.280429,0.036557,1
1760941166813,0.206932,0.105826,1.128688,-0.251842,-0.924652,-0.283759,0.032774,1
1760941166828,0.207122,0.104965,1.128401,-0.265900,-0.925248,-0.268097,0.036570,1
1760941166848,0.207698,0.104241,1.128286,-0.251747,-0.928632,-0.270566,0.032557,1
1760941166864,0.208219,0.103803,1.128004,-0.297298,-0.922967,-0.240127,0.045649,1
1760941166880,0.208986,0.103089,1.128207,-0.319965,-0.920103,-0.219600,0.053000,1
1760941166896,0.210321,0.102433,1.127951,-0.336256,-0.920272,-0.191418,0.058233,1
1760941166913,0.211647,0.101472,1.127663,-0.318461,-0.929112,-0.180875,0.051166,1
1760941166929,0.213172,0.100824,1.127723,-0.356199,-0.921567,-0.140463,0.064074,1
1760941166948,0.214992,0.099813,1.127677,-0.371066,-0.919010,-0.114060,0.068708,1
1760941166965,0.217166,0.098918,1.127445,-0.381208,-0.917044,-0.092471,0.071832,1
1760941166981,0.219917,0.097998,1.127217,-0.409621,-0.906247,-0.063224,0.083242,1
1760941166997,0.222449,0.097184,1.126919,-0.391184,-0.914961,-0.065539,0.074344,1
1760941167015,0.225364,0.096401,1.126861,-0.377802,-0.921316,-0.061759,0.068037,1
1760941167030,0.228657,0.095525,1.126192,-0.416065,-0.905119,-0.026413,0.083379,1
1760941167049,0.231801,0.094358,1.125476,-0.405789,-0.910579,-0.013697,0.077420,1
1760941167066,0.235012,0.093590,1.125000,-0.411829,-0.907648,-0.014640,0.079737,1
1760941167083,0.238449,0.092534,1.124456,-0.398444,-0.914194,-0.008929,0.073565,1
1760941167097,0.242243,0.090831,1.123023,-0.412873,-0.907257,0.011664,0.079277,1
1760941167112,0.245576,0.089808,1.121728,-0.412145,-0.907693,0.010502,0.078231,1
1760941167129,0.249080,0.088500,1.120236,-0.441969,-0.891505,0.041497,0.090332,1
1760941167149,0.252790,0.087101,1.118519,-0.453650,-0.884241,0.056340,0.095633,1
