timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1754660370033,0,WRIST,0.032984,-0.008732,0.715280,-0.822674,2.752489,-0.430232
1754660370078,0,WRIST,0.033524,-0.013066,0.717255,-0.816007,2.765828,-0.426311
1754660370120,0,WRIST,0.034391,-0.017508,0.719451,-0.807395,2.779217,-0.431254
1754660370163,0,WRIST,0.035549,-0.022510,0.721232,-0.786202,2.771549,-0.418666
1754660370205,0,WRIST,0.036712,-0.027545,0.723444,-0.767744,2.783689,-0.422201
1754660370246,0,WRIST,0.036827,-0.032713,0.724455,-0.753429,2.775429,-0.414016
1754660370290,0,WRIST,0.036339,-0.038422,0.726085,-0.734920,2.789501,-0.453460
1754660370333,0,WRIST,0.035886,-0.043412,0.728424,-0.711556,2.768174,-0.452457
1754660370376,0,WRIST,0.035405,-0.047339,0.729344,-0.707544,2.773391,-0.428396
1754660370421,0,WRIST,0.035010,-0.051442,0.729311,-0.696544,2.780037,-0.439843
1754660370464,0,WRIST,0.034238,-0.054142,0.729712,-0.695361,2.780399,-0.430631
1754660370507,0,WRIST,0.034008,-0.055608,0.729851,-0.693650,2.777152,-0.427525
1754660370549,0,WRIST,0.033665,-0.055052,0.730328,-0.687351,2.772892,-0.411914
1754660370591,0,WRIST,0.034167,-0.054518,0.728918,-0.699689,2.775001,-0.443988
1754660370633,0,WRIST,0.035194,-0.054528,0.727095,-0.699667,2.796169,-0.416686
1754660370675,0,WRIST,0.036692,-0.053329,0.723628,-0.701758,2.791636,-0.444123
1754660370717,0,WRIST,0.037682,-0.050935,0.717462,-0.714092,2.797770,-0.464846
1754660370760,0,WRIST,0.037734,-0.047976,0.710456,-0.719367,2.813620,-0.424094
1754660370804,0,WRIST,0.037538,-0.045900,0.704696,-0.743364,2.834837,-0.421013
1754660370846,0,WRIST,0.037036,-0.044522,0.701267,-0.747143,2.833420,-0.457382
1754660370889,0,WRIST,0.035717,-0.041522,0.702251,-0.753495,2.822496,-0.446716
1754660370931,0,WRIST,0.033989,-0.038050,0.706778,-0.781615,2.812338,-0.457056
1754660370974,0,WRIST,0.031381,-0.035346,0.712397,-0.792410,2.820277,-0.418180
1754660371018,0,WRIST,0.029764,-0.033364,0.717534,-0.800069,2.793698,-0.404304
1754660371061,0,WRIST,0.028267,-0.031967,0.722974,-0.811226,2.794909,-0.426399
1754660371104,0,WRIST,0.027725,-0.031537,0.726373,-0.810311,2.798902,-0.401601
1754660371144,0,WRIST,0.027169,-0.031270,0.726418,-0.814634,2.802229,-0.383420
1754660371187,0,WRIST,0.026757,-0.030925,0.725866,-0.807774,2.803333,-0.388890
1754660371231,0,WRIST,0.024373,-0.029986,0.724776,-0.820836,2.793646,-0.346443
1754660371273,0,WRIST,0.018067,-0.027854,0.722380,-0.855888,2.801654,-0.362490
1754660371314,0,WRIST,0.008708,-0.024229,0.721324,-0.886471,2.776704,-0.297872
1754660371357,0,WRIST,-0.001437,-0.021129,0.720602,-0.918320,2.780909,-0.320822
1754660371398,0,WRIST,-0.010177,-0.019092,0.718793,-0.948321,2.747709,-0.302581
1754660371440,0,WRIST,-0.017189,-0.016881,0.716716,-0.969986,2.743883,-0.318510
1754660371482,0,WRIST,-0.020960,-0.014489,0.714668,-0.987820,2.718365,-0.309043
1754660371525,0,WRIST,-0.022874,-0.012942,0.711591,-0.998644,2.719115,-0.381012
1754660371568,0,WRIST,-0.024100,-0.012401,0.710549,-1.002684,2.699079,-0.354899
1754660371610,0,WRIST,-0.024780,-0.011684,0.710240,-1.011495,2.691219,-0.338045
1754660371652,0,WRIST,-0.024842,-0.011336,0.710346,-1.016107,2.703791,-0.337601
1754660371694,0,WRIST,-0.023702,-0.011299,0.711100,-1.027074,2.693347,-0.332202
1754660371737,0,WRIST,-0.021114,-0.013009,0.711684,-1.019129,2.704816,-0.392440
1754660371781,0,WRIST,-0.015693,-0.016042,0.713256,-0.988217,2.703377,-0.377830
1754660371825,0,WRIST,-0.008310,-0.020309,0.715157,-0.956213,2.700145,-0.359095
1754660371866,0,WRIST,-0.000233,-0.024948,0.717210,-0.929259,2.721386,-0.402205
1754660371909,0,WRIST,0.007549,-0.030383,0.719997,-0.881217,2.732774,-0.395231
1754660371951,0,WRIST,0.013928,-0.035923,0.723576,-0.847883,2.740531,-0.425038
1754660371993,0,WRIST,0.018543,-0.038311,0.724868,-0.833144,2.734592,-0.393445
1754660372034,0,WRIST,0.020875,-0.037678,0.724699,-0.821867,2.742888,-0.392344
1754660372077,0,WRIST,0.021420,-0.034637,0.723789,-0.826363,2.736391,-0.378349
1754660372118,0,WRIST,0.020969,-0.030631,0.722532,-0.847593,2.736867,-0.371326
1754660372159,0,WRIST,0.020755,-0.025338,0.720550,-0.861527,2.733970,-0.364919
1754660372200,0,WRIST,0.020876,-0.020191,0.719204,-0.877939,2.729832,-0.380158
1754660372241,0,WRIST,0.021974,-0.014738,0.718751,-0.878822,2.729027,-0.357821
1754660372281,0,WRIST,0.024330,-0.008939,0.716907,-0.880202,2.720920,-0.363198
1754660372322,0,WRIST,0.027624,-0.002449,0.715120,-0.897535,2.737268,-0.373406
1754660372363,0,WRIST,0.031349,0.003178,0.714057,-0.883877,2.724832,-0.369002
1754660372405,0,WRIST,0.034384,0.008838,0.712683,-0.903559,2.737246,-0.392108
1754660372450,0,WRIST,0.037602,0.014661,0.711121,-0.897758,2.736422,-0.378099
1754660372492,0,WRIST,0.040986,0.019234,0.710498,-0.913079,2.760695,-0.401886
1754660372534,0,WRIST,0.043801,0.021967,0.709485,-0.905721,2.749002,-0.389231
1754660372576,0,WRIST,0.047166,0.023937,0.708422,-0.900706,2.752748,-0.386339
1754660372617,0,WRIST,0.049828,0.026148,0.707741,-0.900283,2.760155,-0.376040
1754660372659,0,WRIST,0.051992,0.027469,0.707531,-0.909317,2.761578,-0.387252
1754660372701,0,WRIST,0.053210,0.028586,0.707341,-0.906547,2.760561,-0.402163
1754660372744,0,WRIST,0.054763,0.030127,0.707604,-0.911318,2.768621,-0.353802
1754660372785,0,WRIST,0.058164,0.030279,0.707137,-0.910543,2.769483,-0.395998
1754660372827,0,WRIST,0.064076,0.028976,0.707460,-0.884472,2.771580,-0.413589
1754660372868,0,WRIST,0.070787,0.027330,0.707777,-0.874164,2.781687,-0.440093
1754660372911,0,WRIST,0.078015,0.025291,0.708227,-0.832838,2.780235,-0.449962
1754660372952,0,WRIST,0.084680,0.023985,0.708437,-0.814936,2.775448,-0.445487
1754660372993,0,WRIST,0.090260,0.022814,0.709302,-0.806375,2.796941,-0.440012
1754660373035,0,WRIST,0.095067,0.020698,0.710916,-0.778354,2.797968,-0.453098
1754660373077,0,WRIST,0.098689,0.016644,0.712769,-0.755274,2.796094,-0.459716
1754660373119,0,WRIST,0.100385,0.012668,0.714663,-0.731940,2.821480,-0.464773
1754660373161,0,WRIST,0.101086,0.008890,0.717179,-0.708950,2.810496,-0.429726
1754660373203,0,WRIST,0.100584,0.007046,0.719928,-0.703881,2.817456,-0.458113
1754660373243,0,WRIST,0.099491,0.008551,0.719578,-0.730731,2.811164,-0.442518
1754660373285,0,WRIST,0.097778,0.011411,0.717566,-0.743531,2.812457,-0.401576
1754660373327,0,WRIST,0.092178,0.016430,0.715812,-0.782087,2.796652,-0.363409
1754660373369,0,WRIST,0.084367,0.019505,0.714308,-0.816998,2.810643,-0.336550
1754660373409,0,WRIST,0.076302,0.021474,0.712587,-0.829174,2.784551,-0.334075
1754660373450,0,WRIST,0.066325,0.024632,0.710812,-0.864729,2.785359,-0.320141
1754660373491,0,WRIST,0.054787,0.027719,0.708408,-0.903128,2.785983,-0.324094
1754660373535,0,WRIST,0.043381,0.030110,0.706372,-0.941246,2.787324,-0.297272
1754660373575,0,WRIST,0.032736,0.032360,0.704407,-0.959993,2.754248,-0.307861
1754660373619,0,WRIST,0.021708,0.032558,0.702805,-0.978970,2.748781,-0.270039
1754660373662,0,WRIST,0.010102,0.033533,0.702172,-1.003165,2.724001,-0.286210
1754660373704,0,WRIST,-0.002119,0.035665,0.701130,-1.041289,2.728612,-0.297739
1754660373746,0,WRIST,-0.016316,0.039000,0.699399,-1.092831,2.700689,-0.235782
1754660373789,0,WRIST,-0.032283,0.041674,0.697107,1.153690,-2.707013,0.043590
1754660373831,0,WRIST,-0.048258,0.043857,0.695851,-1.204602,2.632022,-0.185049
1754660373875,0,WRIST,-0.063109,0.044727,0.694132,1.271925,-2.745689,0.127777
1754660373918,0,WRIST,-0.075221,0.044476,0.692700,-1.272647,2.625000,-0.109543
1754660373960,0,WRIST,-0.084964,0.042388,0.691411,-1.335909,2.728997,-0.262048
1754660374002,0,WRIST,-0.094195,0.040294,0.691230,1.374077,-2.785610,0.288086
1754660374043,0,WRIST,-0.101287,0.038564,0.691639,-1.388933,2.780124,-0.249033
1754660374083,0,WRIST,-0.104958,0.036751,0.691031,-1.345988,2.675492,-0.307706
1754660374124,0,WRIST,-0.103884,0.034303,0.690656,-1.310607,2.634531,-0.412286
1754660374165,0,WRIST,-0.097569,0.030894,0.690350,-1.267872,2.610104,-0.466254
1754660374205,0,WRIST,-0.088089,0.027266,0.692032,-1.241635,2.644199,-0.474204
1754660374247,0,WRIST,-0.077994,0.023433,0.694489,-1.241170,2.705073,-0.420109
1754660374290,0,WRIST,-0.068415,0.020271,0.698367,-1.216397,2.716191,-0.361217
1754660374330,0,WRIST,-0.060434,0.016747,0.701905,-1.178214,2.682388,-0.443744
1754660374372,0,WRIST,-0.053695,0.013020,0.703924,-1.176068,2.728343,-0.403508
1754660374415,0,WRIST,-0.047990,0.009142,0.705566,-1.115011,2.730218,-0.338803
1754660374458,0,WRIST,-0.045022,0.006986,0.707890,-1.112004,2.713093,-0.341810
1754660374501,0,WRIST,-0.045645,0.007298,0.707677,-1.117928,2.716035,-0.306091
1754660374542,0,WRIST,-0.046045,0.006997,0.707195,-1.107274,2.710080,-0.329038
1754660374584,0,WRIST,-0.045853,0.006207,0.707170,-1.111490,2.713573,-0.355726
1754660374623,0,WRIST,-0.046366,0.006101,0.707454,-1.106884,2.709666,-0.327648
1754660374665,0,WRIST,-0.046974,0.005935,0.707399,-1.129200,2.715967,-0.284585
1754660374706,0,WRIST,-0.048190,0.004745,0.705718,-1.155152,2.734918,-0.279784
1754660374748,0,WRIST,-0.049588,0.002115,0.703896,-1.149550,2.728843,-0.348485
1754660374790,0,WRIST,-0.052622,-0.003741,0.700664,-1.171177,2.780512,-0.370612
1754660374832,0,WRIST,-0.058065,-0.014030,0.695415,-1.156232,2.731183,-0.425323
1754660374874,0,WRIST,-0.064990,-0.032917,0.704120,-1.191151,2.783443,-0.440230
1754660374916,0,WRIST,-0.076075,-0.053782,0.699324,-1.204867,2.799006,-0.420340
